index,nrLayers,nrNodes,oddsSet1,edgeDegree1,edgeDegree2,edgeDegreeCross
97,6,800,0.353386,7.41398,8.70778,5.14867
98,6,800,0.353386,7.41398,8.70778,5.14867
99,6,800,0.353386,7.41398,8.70778,5.14867
100,6,800,0.507506,2.83188,1.50496,1.02381
101,6,800,0.507506,2.83188,1.50496,1.02381
102,6,800,0.507506,2.83188,1.50496,1.02381
103,6,800,0.507506,2.83188,1.50496,1.02381
104,6,800,0.507506,2.83188,1.50496,1.02381
105,6,800,0.990507,8.64113,13.8161,1.52965
106,6,800,0.990507,8.64113,13.8161,1.52965
107,6,800,0.990507,8.64113,13.8161,1.52965
108,6,800,0.990507,8.64113,13.8161,1.52965
109,6,800,0.990507,8.64113,13.8161,1.52965
110,6,800,0.251237,4.1888,3.50236,4.54453
111,6,800,0.251237,4.1888,3.50236,4.54453
112,6,800,0.251237,4.1888,3.50236,4.54453
113,6,800,0.251237,4.1888,3.50236,4.54453
114,6,800,0.251237,4.1888,3.50236,4.54453
115,6,800,0.676192,6.94677,6.53425,5.20212
116,6,800,0.676192,6.94677,6.53425,5.20212
117,6,800,0.676192,6.94677,6.53425,5.20212
118,6,800,0.676192,6.94677,6.53425,5.20212
119,6,800,0.676192,6.94677,6.53425,5.20212
120,6,800,0.471219,18.7167,8.72998,2.15485
121,6,800,0.471219,18.7167,8.72998,2.15485
122,6,800,0.471219,18.7167,8.72998,2.15485
123,6,800,0.471219,18.7167,8.72998,2.15485
124,6,800,0.471219,18.7167,8.72998,2.15485
125,6,800,0.3804,1.46374,7.16379,2.66422
126,6,800,0.3804,1.46374,7.16379,2.66422
127,6,800,0.3804,1.46374,7.16379,2.66422
128,6,800,0.3804,1.46374,7.16379,2.66422
129,6,800,0.3804,1.46374,7.16379,2.66422
130,6,800,0.406947,8.3996,11.6834,3.55702
131,6,800,0.406947,8.3996,11.6834,3.55702
132,6,800,0.406947,8.3996,11.6834,3.55702
133,6,800,0.406947,8.3996,11.6834,3.55702
134,6,800,0.406947,8.3996,11.6834,3.55702
135,6,800,0.272433,2.23138,4.92827,0.854952
136,6,800,0.272433,2.23138,4.92827,0.854952
137,6,800,0.272433,2.23138,4.92827,0.854952
138,6,800,0.272433,2.23138,4.92827,0.854952
139,6,800,0.272433,2.23138,4.92827,0.854952
140,6,800,0.674528,5.56666,1.14382,0.592969
141,6,800,0.674528,5.56666,1.14382,0.592969
142,6,800,0.674528,5.56666,1.14382,0.592969
143,6,800,0.674528,5.56666,1.14382,0.592969
144,6,800,0.674528,5.56666,1.14382,0.592969
145,6,800,0.806831,5.4196,5.13739,2.31156
146,6,800,0.806831,5.4196,5.13739,2.31156
147,6,800,0.806831,5.4196,5.13739,2.31156
148,6,800,0.806831,5.4196,5.13739,2.31156
149,6,800,0.806831,5.4196,5.13739,2.31156
150,6,800,0.863452,13.5235,6.68632,5.05189
151,6,800,0.863452,13.5235,6.68632,5.05189
152,6,800,0.863452,13.5235,6.68632,5.05189
153,6,800,0.863452,13.5235,6.68632,5.05189
154,6,800,0.863452,13.5235,6.68632,5.05189
155,6,800,0.405875,11.4852,7.16196,1.88674
156,6,800,0.405875,11.4852,7.16196,1.88674
157,6,800,0.405875,11.4852,7.16196,1.88674
158,6,800,0.405875,11.4852,7.16196,1.88674
159,6,800,0.405875,11.4852,7.16196,1.88674
160,6,800,0.472048,4.05569,4.33807,1.54502
161,6,800,0.472048,4.05569,4.33807,1.54502
162,6,800,0.472048,4.05569,4.33807,1.54502
163,6,800,0.472048,4.05569,4.33807,1.54502
164,6,800,0.472048,4.05569,4.33807,1.54502
165,6,800,0.459223,3.52722,4.41288,2.75354
166,6,800,0.459223,3.52722,4.41288,2.75354
167,6,800,0.459223,3.52722,4.41288,2.75354
168,6,800,0.459223,3.52722,4.41288,2.75354
169,6,800,0.459223,3.52722,4.41288,2.75354
170,6,800,0.258662,10.0386,4.23366,1.46261
171,6,800,0.258662,10.0386,4.23366,1.46261
172,6,800,0.258662,10.0386,4.23366,1.46261
173,6,800,0.258662,10.0386,4.23366,1.46261
