index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed
522,6,140,1536,222.25,1.62457
523,6,140,1254,351.766,0.635225
524,6,140,1380,81.901,1.03095
525,6,140,1962,152.602,0.683915
526,6,140,2380,288.238,5.61979
527,6,140,1985,330.817,1.83919
528,6,140,1815,122.041,0.396635
529,6,140,2265,199.119,0.599272
530,6,140,2064,331.031,0.593749
531,6,140,1988,267.117,0.677673
532,6,160,642,162.605,0.326289
533,6,160,798,182.955,14.548
534,6,160,623,313.906,4.44659
535,6,160,800,382.231,25.5701
536,6,160,681,172.2,2.82502
537,6,160,787,194.802,5.37441
538,6,160,1036,242.957,2.04956
539,6,160,1244,401.347,1.63547
540,6,160,1564,93.8252,7.55654
541,6,160,1195,207.041,13.1673
542,6,160,1201,291.372,18.6488
543,6,160,1528,398.149,1.90047
544,6,160,1489,107.257,13.426
545,6,160,2326,205.25,2.58457
546,6,160,1228,250.903,1.18468
547,6,160,1972,345.021,30.2602
548,6,160,1726,88.0614,8.16061
549,6,160,2308,233.262,9.36394
550,6,160,1690,260.89,16.7292
551,6,160,1733,418.417,5.50085
552,6,160,2114,130.134,19.8834
553,6,160,2273,161.115,7.50775
554,6,160,2702,301.497,2.45613
555,6,160,3056,382.605,11.95
556,6,160,1984,63.661,2.31525
557,6,160,3296,156.946,0.390954
558,6,160,2615,248.35,0.546441
559,6,160,2470,334.078,0.651888
560,7,80,156,147.667,0.156646
561,7,80,156,346.704,0.162533
562,7,80,149,322.278,0.137431
563,7,80,160,336.267,0.178982
564,7,80,243,133.366,0.164959
565,7,80,228,234.512,0.186403
566,7,80,223,381.535,0.244471
567,7,80,241,403.426,0.19973
568,7,80,324,186.391,0.210519
569,7,80,299,256.769,0.214212
570,7,80,317,316.557,0.209135
571,7,80,306,358.737,0.266666
572,7,80,367,112.905,0.206931
573,7,80,396,198.266,0.17068
574,7,80,403,324.051,0.206775
575,7,80,368,393.254,0.212334
576,7,80,468,145.2,0.189191
577,7,80,494,223.014,0.156314
578,7,80,449,258.182,0.257893
579,7,80,428,288.48,0.403873
580,7,80,503,86,0.133132
581,7,80,583,216.333,0.157193
582,7,80,544,264.417,0.133833
583,7,80,585,326.763,0.203596
584,7,80,640,112.563,0.188813
585,7,80,657,226.467,0.166538
586,7,80,583,283.681,0.0942481
587,7,80,606,369.768,0.22395
588,7,100,227,130.929,0.105767
589,7,100,240,197.941,0.812287
590,7,100,250,317.825,0.498225
591,7,100,220,418.276,0.257642
592,7,100,367,198.556,2.967
593,7,100,383,168.333,1.12471
594,7,100,270,367.031,0.226532
595,7,100,329,440.855,1.2822
596,7,100,503,115.636,0.746334
597,7,100,444,222.753,0.984153
598,7,100,472,284.134,0.575035
599,7,100,422,323.7,0.824007
600,7,100,597,125.941,0.45368
601,7,100,654,214.539,0.820617
602,7,100,608,292.802,0.36884
603,7,100,647,344.713,0.681172
604,7,100,753,122.314,0.788643
605,7,100,586,195.707,0.907536
606,7,100,673,248.312,0.271318
607,7,100,758,357.099,0.521454
608,7,100,821,133.5,0.333772
609,7,100,889,208.967,0.313044
610,7,100,747,278.163,0.264827
611,7,100,975,436.753,0.709555
612,7,100,981,73.4079,0.397738
613,7,100,1036,243.725,0.282125
614,7,100,892,293.233,0.266267
615,7,100,1006,400.138,0.289038
616,7,120,385,130.368,0.362687
617,7,120,301,181.814,0.30885
618,7,120,358,294.812,1.28363
619,7,120,343,380.126,4.05802
620,7,120,451,91.8667,0.334867
621,7,120,430,193.123,1.42241
622,7,120,488,306.844,1.13231
623,7,120,482,420.475,3.96001
624,7,120,804,140.387,7.66334
625,7,120,707,236.618,3.16362
626,7,120,658,300.583,0.930921
627,7,120,688,323.079,3.86999
628,7,120,645,152.083,0.973513
629,7,120,945,221.558,0.852369
630,7,120,853,258.133,0.856386
631,7,120,840,398.16,1.50404
632,7,120,1063,136.301,4.91728
633,7,120,802,302.072,0.244521
634,7,120,1132,330.15,4.20681
635,7,120,964,356,1.2402
636,7,120,1320,107.209,1.26131
637,7,120,935,204.636,0.357253
638,7,120,1108,217.591,1.81704
639,7,120,1185,326.287,1.60583
640,7,120,1445,114.353,0.359877
641,7,120,1474,179.946,0.395138
642,7,120,1491,376.851,0.362521
643,7,120,1490,329.855,0.211336
644,7,140,314,220.682,0.422586
645,7,140,378,159.106,0.409322
646,7,140,529,273.628,4.46231
647,7,140,473,314.814,2.06027
648,7,140,914,144,11.8902
649,7,140,705,221.062,0.584384
650,7,140,625,330.851,4.07163
651,7,140,576,313.131,4.88086
652,7,140,671,162.944,1.04456
653,7,140,827,205.825,4.54172
654,7,140,833,314.073,0.862441
655,7,140,1028,363.538,13.0888
656,7,140,1118,186.708,1.45947
657,7,140,1150,177.758,28.133
658,7,140,1198,227.058,2.2042
659,7,140,893,260.67,14.3055
660,7,140,1560,140.347,13.4621
661,7,140,1467,168.762,23.458
662,7,140,1065,367.336,0.418777
663,7,140,1033,344.619,0.884085
664,7,140,1666,97.2031,22.1842
665,7,140,1428,232.613,0.688108
666,7,140,1467,292.264,0.60362
667,7,140,1659,328.548,0.558503
668,7,140,1692,58.6522,5.152
669,7,140,2025,175.848,0.695341
670,7,140,2500,287.058,0.69024
671,7,140,1953,335.149,0.575999
672,7,160,461,107.629,0.29576
673,7,160,612,279.459,9.35358
674,7,160,576,263.669,3.6237
675,7,160,580,422.351,3.88706
676,7,160,1084,117.973,6.79243
677,7,160,451,276.452,4.86569
678,7,160,946,211.211,30.7454
